Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Cluster,,,,,,,,,,,
2,3,12669,9656,7561,214,2674,1338,2,,,,,,,,,,,
2,3,7057,9810,9568,1762,3293,1776,1,,,,,,,,,,,
2,3,6353,8808,7684,2405,3516,7844,1,,,,,,,,,,,
1,3,13265,1196,4221,6404,507,1788,1,,,,,,,,,,,
2,3,22615,5410,7198,3915,1777,5185,1,,,Cluster,,Centroid,1,2,,1,2,Dist^p
2,3,9413,8259,5126,666,1795,1451,2,,1,2,,Fresh,35401.36923,7931.47861,,829480616.8,30565262.63,30565262.63
2,3,12126,3199,6975,480,3140,545,2,,2,2,,Grocery,9514.230769,5139.775401,,929731011.2,77918282.9,77918282.9
2,3,7579,4956,9426,1669,3321,2566,1,,3,2,,Frozen,10346.36923,7536.061497,,605818089.9,79102591.36,79102591.36
1,3,5963,3648,6192,425,1716,750,1,,4,1,,Detergent,6463.092308,2490.200535,,224961619.2,245908795.3,224961619.2
2,3,6006,11093,18881,1159,7425,2098,1,,5,2,,Delicassre,2933.046154,2873.088235,,741230023.7,24328246.98,24328246.98
2,3,3366,5403,12974,4400,5977,1744,2,,6,2,,,,,,629128331.4,26084581.94,26084581.94
2,3,13146,1124,4523,1420,549,497,1,,7,2,,,,,,825426962.1,11189233.38,11189233.38
2,3,31714,12319,11757,287,3881,2931,2,,8,2,,# of clusters,2,,,956791290.2,14073209.63,14073209.63
2,3,21217,6208,14982,3095,6707,602,2,,9,2,,,,,,992132815.4,194749580.2,194749580.2
2,3,24653,9465,12091,294,5058,2168,2,,10,2,,Minkowski p,2,,,1066635085,66807195.52,66807195.52
1,3,10253,1114,3821,397,964,412,1,,11,2,,,,,,630972526.2,59189949.3,59189949.3
2,3,1020,8816,12121,134,4508,1080,2,,12,1,,# of runs,40,,,71086795.14,649426651.1,71086795.14
1,3,5876,6157,2933,839,370,4478,1,,13,2,,,,,,259565742.4,248515248.4,248515248.4
2,3,18601,6327,10099,2205,2767,3181,2,,14,1,,# of iter,200,,,165846954.1,333361670.4,165846954.1
1,3,7780,2495,9464,669,2518,501,1,,15,2,,,,,,786429158.2,43593861.44,43593861.44
2,3,17546,4519,4602,1066,2259,2124,2,,16,2,,Converge,TRUE,,,1229419680,91695842.38,91695842.38
1,3,5567,871,2010,3383,375,569,2,,17,2,,,,,,996228573.9,55492311.27,55492311.27
1,3,31276,1917,4469,9408,2381,4334,2,,18,2,,Error,1.14436E+11,,,320749720.2,132028197.8,132028197.8
2,3,26373,36423,22019,5154,4337,16523,2,,19,2,,,,,,846982984.2,14428589.6,14428589.6
2,3,22647,9776,13792,2915,4482,5778,1,,20,2,,,,,,410858638.3,108349928.1,108349928.1
2,3,16165,4230,7595,201,4003,57,1,,21,2,,,,,,1050644407,61711854.91,61711854.91
1,3,9898,961,2861,3151,242,833,2,,22,1,,,,,,137040848,631641482.7,137040848
1,3,14276,803,3045,485,100,518,2,,23,1,,,,,,1218537960,1810733754,1218537960
2,3,4113,20484,25957,1158,8604,5206,2,,24,1,,,,,,222988330,313332250.5,222988330
1,3,43088,2100,2609,1200,1107,823,2,,25,2,,,,,,445892879,75142428.2,75142428.2
1,3,18815,3610,11107,1148,2134,2963,2,,26,2,,,,,,798515925.1,51238740.47,51238740.47
1,3,2612,4339,3133,2088,820,985,1,,27,2,,,,,,619508821.4,91209377.47,91209377.47
1,3,21632,1318,2886,266,918,405,1,,28,2,,,,,,1430395837,651077526.7,651077526.7
1,3,29729,4786,7326,6130,361,1083,2,,29,1,,,,,,205633907.3,1274958180,205633907.3
1,3,1502,1979,2262,425,483,395,1,,30,2,,,,,,348214194.4,144669975.1,144669975.1
2,3,688,5491,11091,833,4239,436,1,,31,2,,,,,,1178535065,53672206.04,53672206.04
1,3,29955,4362,5428,1729,862,4626,2,,32,2,,,,,,355059226,232866788.5,232866788.5
2,3,15168,10556,12477,1920,6506,714,1,,33,1,,,,,,71553830.09,496032838.1,71553830.09
2,3,4591,15729,16709,33,6956,433,1,,34,2,,,,,,1313921273,89278021.03,89278021.03
1,3,56159,555,902,10002,212,2916,2,,35,2,,,,,,1255352415,70031053.41,70031053.41
1,3,24025,4332,4757,9510,1145,5864,1,,36,1,,,,,,128499513.7,516108130.4,128499513.7
1,3,19176,3065,5956,2033,2575,2802,2,,37,2,,,,,,448929583.9,120148576.6,120148576.6
2,3,10850,7555,14961,188,6899,46,1,,38,2,,,,,,1086103013,230328767.7,230328767.7
2,3,630,11095,23998,787,9529,72,2,,39,1,,,,,,628774177.1,2462936335,628774177.1
2,3,9670,7027,10471,541,4618,65,1,,40,1,,,,,,234385592.6,354027484.1,234385592.6
2,3,5181,22044,21531,1740,7353,4985,1,,41,2,,,,,,351735645.1,141389641.5,141389641.5
2,3,3103,14069,21955,1668,6792,1452,1,,42,2,,,,,,683010822.8,90990997.58,90990997.58
2,3,44466,54259,55571,7782,24171,6465,2,,43,2,,,,,,1473643787,406978946.7,406978946.7
2,3,11519,6152,10868,584,5121,1476,1,,44,2,,,,,,706219684,22046262.12,22046262.12
2,3,4967,21412,28921,1798,13583,1163,1,,45,2,,,,,,1262055617,534658880.8,534658880.8
1,3,6269,1095,1980,3860,609,2162,1,,46,2,,,,,,1238683625,329093232.3,329093232.3
1,3,3347,4051,6996,239,1538,301,2,,47,1,,,,,,4624115559,6578225207,4624115559
2,3,40721,3916,5876,532,2587,1278,1,,48,2,,,,,,623473698.9,35862006.33,35862006.33
2,3,491,10473,11532,744,5611,224,1,,49,2,,,,,,1549361824,847422942.2,847422942.2
1,3,27329,1449,1947,2436,204,1333,2,,50,2,,,,,,1006426042,61670552.65,61670552.65
1,3,5264,3683,5005,1057,2024,1130,1,,51,2,,,,,,1109330531,29435507.86,29435507.86
2,3,4098,29892,26866,2616,17740,1340,2,,52,1,,,,,,116553748.2,1084955823,116553748.2
2,3,5417,9933,10487,38,7572,1282,1,,53,2,,,,,,1260988468,110367084.2,110367084.2
1,3,13779,1970,1648,596,227,436,2,,54,1,,,,,,226202550.2,430027126.3,226202550.2
1,3,6137,5360,8040,129,3084,1603,1,,55,2,,,,,,1002123601,19695823.61,19695823.61
2,3,8590,3045,7854,96,4095,225,1,,56,2,,,,,,1903894206,1223851194,1223851194
2,3,35942,38369,59598,3254,26701,2017,1,,57,2,,,,,,963702770.8,67742226.02,67742226.02
2,3,7823,6245,6544,4154,4074,964,1,,58,2,,,,,,642039450.3,89690125.32,89690125.32
2,3,9396,11601,15775,2896,7677,1295,2,,59,2,,,,,,921693400.2,11711967.11,11711967.11
1,3,4760,1227,3250,3724,1247,1145,2,,60,2,,,,,,808852997.4,12198708.86,12198708.86
2,3,85,20959,45828,36,24231,1423,1,,61,1,,,,,,3837895315,5171637174,3837895315
1,3,9,1534,7417,175,3468,27,1,,62,2,,,,,,793275310,7357188.764,7357188.764
2,3,19913,6759,13462,1256,5141,834,1,,63,2,,,,,,747010137.3,136691620.3,136691620.3
1,3,2446,7260,3993,5870,788,3095,1,,64,2,,,,,,1069586562,49215860.14,49215860.14
1,3,8352,2820,1293,779,656,144,2,,65,2,,,,,,3134110083,2242296072,2242296072
1,3,16705,2037,3202,10643,116,1365,2,,66,2,,,,,,1364712096,81496261.73,81496261.73
1,3,18291,1266,21042,5373,4173,14472,1,,67,2,,,,,,289872459.6,188657721,188657721
1,3,4420,5139,2661,8872,1321,181,2,,68,2,,,,,,1146035225,72488775.07,72488775.07
2,3,19899,5332,8713,8132,764,648,2,,69,2,,,,,,895959176.4,52398436.52,52398436.52
2,3,8190,6343,9794,1285,1901,1780,1,,70,2,,,,,,483775816.4,181318881.5,181318881.5
1,3,20398,1137,3,4407,3,975,2,,71,2,,,,,,687359134.4,524175281.5,524175281.5
1,3,717,3587,6532,7530,529,894,2,,72,2,,,,,,1046487074,79265810.53,79265810.53
2,3,12205,12697,28540,869,12034,1009,1,,73,2,,,,,,268392319.1,181341761.2,181341761.2
1,3,10766,1175,2067,2096,301,167,2,,74,2,,,,,,781866591,12178732.89,12178732.89
1,3,1640,3259,3655,868,1202,1653,1,,75,2,,,,,,416027681.7,241045533.7,241045533.7
1,3,7005,829,3009,430,610,529,2,,76,2,,,,,,1260403912,87161516.85,87161516.85
2,3,219,9540,14403,283,7818,156,1,,77,2,,,,,,994349076.7,604108737.9,604108737.9
2,3,10362,9232,11009,737,3537,2342,2,,78,2,,,,,,771019193,60463510.11,60463510.11
1,3,20874,1563,1783,2320,550,772,2,,79,2,,,,,,1260766374,66339137.02,66339137.02
2,3,11867,3327,4814,1178,3837,120,1,,80,2,,,,,,977698593.5,49581268.58,49581268.58
2,3,16117,46197,92780,1026,40827,2944,2,,81,2,,,,,,1316336673,155347369.8,155347369.8
2,3,22925,73498,32114,987,20070,903,2,,82,2,,,,,,666126602.6,43714493.19,43714493.19
1,3,43265,5025,8117,6312,1579,14351,1,,83,2,,,,,,371037926.9,219421590,219421590
1,3,7864,542,4042,9735,165,46,1,,84,2,,,,,,651519202.2,28849498.2,28849498.2
1,3,24904,3836,5330,3443,454,3178,1,,85,1,,,,,,9986996784,10470537941,9986996784
1,3,11405,596,1638,3347,69,360,1,,86,1,,,,,,5047890447,5800536410,5047890447
1,3,12754,2762,2530,8693,627,1117,2,,87,1,,,,,,294767439.8,1471040413,294767439.8
2,3,9198,27472,32034,3232,18906,5130,1,,88,2,,,,,,896922276,93175534.93,93175534.93
1,3,11314,3090,2062,35009,71,2698,1,,89,1,,,,,,192967337.1,311492518.7,192967337.1
2,3,5626,12220,11323,206,5038,244,2,,90,2,,,,,,749238662.6,76224991.33,76224991.33
1,3,3,2920,6252,440,223,709,2,,91,2,,,,,,631129607.6,98738502.7,98738502.7
2,3,23,2616,8118,145,3874,217,2,,92,2,,,,,,1771343475,1384402749,1384402749
1,3,403,254,610,774,54,63,1,,93,2,,,,,,1520442229,1118211601,1118211601
1,3,503,112,778,895,56,132,1,,94,2,,,,,,938489178.5,79749666.25,79749666.25
1,3,9658,2182,1909,5639,215,323,1,,95,2,,,,,,1357416955,81165960.71,81165960.71
2,3,11594,7779,12144,3252,8035,3029,1,,96,2,,,,,,1345031000,75801007.52,75801007.52
2,3,1420,10810,16267,1593,6766,1838,1,,97,2,,,,,,1446093256,139415691.1,139415691.1
2,3,2932,6459,7677,2561,4573,1386,1,,98,2,,,,,,1437150279,136630290,136630290
1,3,56082,3504,8906,18028,1480,2498,2,,99,2,,,,,,795843099,60477832.67,60477832.67
1,3,14100,2132,3445,1336,1491,548,2,,100,2,,,,,,618549219.8,78013179.15,78013179.15
1,3,15587,1014,3970,910,139,1378,2,,101,2,,,,,,1233253920,170118062.6,170118062.6
2,3,1454,6337,10704,133,6830,1831,2,,102,2,,,,,,1090556674,31570712.14,31570712.14
2,3,8797,10646,14886,2471,8969,1438,2,,103,1,,,,,,607984463.5,2572629114,607984463.5
2,3,1531,8397,6981,247,2505,1236,1,,104,2,,,,,,584541436.1,67376803.95,67376803.95
2,3,1406,16729,28986,673,836,3,2,,105,2,,,,,,546063647.8,100216981.2,100216981.2
1,3,11818,1648,1694,2276,169,1647,1,,106,2,,,,,,1221255452,77993016.31,77993016.31
2,3,12579,11114,17569,805,6457,1519,2,,107,2,,,,,,784118995.1,124317585.5,124317585.5
1,3,19046,2770,2469,8853,483,2708,1,,108,2,,,,,,1200126550,58578865.37,58578865.37
1,3,14438,2295,1733,3220,585,1561,2,,109,2,,,,,,1593096640,644443814.9,644443814.9
1,3,18044,1080,2000,2555,118,1266,1,,110,2,,,,,,720800686.2,71497810.56,71497810.56
1,3,11134,793,2988,2715,276,610,1,,111,2,,,,,,622325814.4,175942355,175942355
1,3,11173,2521,3355,1517,310,222,1,,112,2,,,,,,394083346.3,208354536.2,208354536.2
1,3,6990,3880,5380,1647,319,1160,2,,113,2,,,,,,584237961.4,92307766.46,92307766.46
1,3,20049,1891,2362,5343,411,933,2,,114,2,,,,,,466876821,158590308.2,158590308.2
1,3,8258,2344,2147,3896,266,635,2,,115,2,,,,,,740590863.5,57002965.13,57002965.13
1,3,17160,1200,3412,2417,174,1136,1,,116,2,,,,,,716191880.1,42412545.35,42412545.35
1,3,4020,3234,1498,2395,264,255,1,,117,2,,,,,,894988863.7,15701971.07,15701971.07
1,3,12212,201,245,1991,25,860,2,,118,2,,,,,,366044853,199230610.9,199230610.9
2,3,11170,10769,8814,2194,1976,143,1,,119,2,,,,,,869510681.4,46141366.34,46141366.34
1,3,36050,1642,2961,4787,500,1621,2,,120,2,,,,,,475233156,126276252.1,126276252.1
1,3,76237,3473,7102,16538,778,918,1,,121,2,,,,,,1126263479,62271261,62271261
1,3,19219,1840,1658,8195,349,483,2,,122,2,,,,,,755716715.1,104974351.4,104974351.4
2,3,21465,7243,10685,880,2386,2749,2,,123,2,,,,,,610243391.6,44722268.26,44722268.26
1,3,140,8847,3823,142,1062,3,1,,124,1,,,,,,128293057.8,837351342.2,128293057.8
1,3,42312,926,1510,1718,410,1819,1,,125,1,,,,,,1821561854,4871183591,1821561854
1,3,7149,2428,699,6316,395,911,2,,126,2,,,,,,406160739.5,211997311.2,211997311.2
1,3,2101,589,314,346,70,310,1,,127,2,,,,,,238522727.6,207882570.3,207882570.3
1,3,14903,2032,2479,576,955,328,1,,128,2,,,,,,1329820734,97031574.18,97031574.18
1,3,9434,1042,1235,436,256,396,2,,129,1,,,,,,231786370.5,1246061430,231786370.5
1,3,7388,1882,2174,720,47,537,2,,130,2,,,,,,948776002.2,76318992.37,76318992.37
1,3,6300,1289,2591,1170,199,326,1,,131,2,,,,,,1334934719,119413209.4,119413209.4
1,3,4625,8579,7030,4575,2447,1542,2,,132,2,,,,,,576740523.4,91285059.59,91285059.59
1,3,3087,8080,8282,661,721,36,1,,133,2,,,,,,872749242,69978416.43,69978416.43
1,3,13537,4257,5034,155,249,3271,2,,134,2,,,,,,951388161.7,51068926.71,51068926.71
1,3,5387,4979,3343,825,637,929,2,,135,2,,,,,,1010287975,50943780.2,50943780.2
1,3,17623,4280,7305,2279,960,2616,2,,136,2,,,,,,965236761.9,29922868.87,29922868.87
1,3,30379,13252,5189,321,51,1450,2,,137,2,,,,,,1089095816,40649072.31,40649072.31
1,3,37036,7152,8253,2995,20,3,2,,138,2,,,,,,591605957.4,61499915.81,61499915.81
1,3,10405,1596,1096,8425,399,318,2,,139,2,,,,,,1008400813,32718009.26,32718009.26
1,3,18827,3677,1988,118,516,201,2,,140,2,,,,,,380960506.6,105266158.3,105266158.3
2,3,22039,8384,34792,42,12591,4430,1,,141,1,,,,,,113927556.8,589980215.2,113927556.8
1,3,7769,1936,2177,926,73,520,1,,142,1,,,,,,33147857.84,860031158,33147857.84
1,3,9203,3373,2707,1286,1082,526,2,,143,2,,,,,,783457779.8,101595125.5,101595125.5
1,3,5924,584,542,4052,283,434,1,,144,2,,,,,,424788024.2,162856685.9,162856685.9
1,3,31812,1433,1651,800,113,1440,1,,145,1,,,,,,931550595.7,1072489732,931550595.7
1,3,16225,1825,1765,853,170,1067,2,,146,2,,,,,,926825659.8,49567733.69,49567733.69
1,3,1289,3328,2022,531,255,1774,2,,147,2,,,,,,812934560.6,32992868.9,32992868.9
1,3,18840,1371,3135,3001,352,184,1,,148,2,,,,,,1057814441,83038086.74,83038086.74
1,3,3463,9250,2368,779,302,1627,1,,149,1,,,,,,195896183.1,631201899.5,195896183.1
1,3,622,55,137,75,7,8,1,,150,2,,,,,,540743353.3,124200984.4,124200984.4
2,3,1989,10690,19460,233,11577,2153,1,,151,2,,,,,,1316727035,91649855.12,91649855.12
2,3,3830,5291,14855,317,6694,3182,1,,152,2,,,,,,411276742.7,159219507.2,159219507.2
1,3,17773,1366,2474,3378,811,418,2,,153,2,,,,,,1125662061,75755937.96,75755937.96
2,3,2861,6570,9618,930,4004,1682,2,,154,2,,,,,,1452682324,148077248.9,148077248.9
2,3,355,7704,14682,398,8077,303,2,,155,2,,,,,,1318994514,293786797.8,293786797.8
2,3,1725,3651,12822,824,4424,2157,1,,156,2,,,,,,1096959133,99859147.75,99859147.75
1,3,12434,540,283,1092,3,2233,2,,157,2,,,,,,453322862.1,141936510.4,141936510.4
1,3,15177,2024,3810,2665,232,610,2,,158,2,,,,,,1102665823,38632074.79,38632074.79
2,3,5531,15726,26870,2367,13726,446,2,,159,2,,,,,,1313660041,146592522.7,146592522.7
2,3,5224,7603,8584,2540,3674,238,2,,160,2,,,,,,1213279022,78512175.3,78512175.3
2,3,15615,12653,19858,4425,7108,2379,1,,161,2,,,,,,751728359.6,109216193.9,109216193.9
2,3,4822,6721,9170,993,4973,3637,2,,162,2,,,,,,529946046,83467172.77,83467172.77
1,3,2926,3195,3268,405,1680,693,1,,163,2,,,,,,1337320150,609631415,609631415
1,3,5809,735,803,1393,79,429,1,,164,2,,,,,,933428671.9,15196674.59,15196674.59
1,3,5414,717,2155,2399,69,750,1,,165,2,,,,,,519067100.4,294652780.9,294652780.9
2,3,260,8675,13430,1116,7015,323,2,,166,2,,,,,,991594895.8,34717891.35,34717891.35
2,3,200,25862,19816,651,8773,6250,2,,167,2,,,,,,1183436451,53305086.22,53305086.22
1,3,955,5479,6536,333,2840,707,2,,168,2,,,,,,1077894562,78435897.99,78435897.99
2,3,514,7677,19805,937,9836,716,1,,169,2,,,,,,1069014219,63288192.01,63288192.01
1,3,286,1208,5241,2515,153,1442,1,,170,2,,,,,,1290486991,125236097.3,125236097.3
2,3,2343,7845,11874,52,4196,1697,2,,171,2,,,,,,1703007839,717237360.9,717237360.9
1,3,45640,6958,6536,7368,1532,230,2,,172,2,,,,,,1255440893,54940908.1,54940908.1
1,3,12759,7330,4533,1752,20,2631,1,,173,2,,,,,,1388670769,263390577.7,263390577.7
1,3,11002,7075,4945,1152,120,395,2,,174,2,,,,,,1353542874,88658367.27,88658367.27
1,3,3157,4888,2500,4477,273,2165,1,,175,2,,,,,,1143552729,67941770.14,67941770.14
1,3,12356,6036,8887,402,1382,2794,2,,176,1,,,,,,128717477.7,1451882994,128717477.7
1,3,112151,29627,18148,16745,4948,8550,1,,177,2,,,,,,588845399.9,52727638.43,52727638.43
1,3,694,8533,10518,443,6907,156,2,,178,2,,,,,,666730810.3,29413096.04,29413096.04
1,3,36847,43950,20170,36534,239,47943,1,,179,2,,,,,,1138374502,63616008.2,63616008.2
1,3,327,918,4710,74,334,11,2,,180,2,,,,,,592265911,36595004.5,36595004.5
1,3,8170,6448,1139,2181,58,247,2,,181,1,,,,,,6538774917,11854553113,6538774917
1,3,3009,521,854,3470,949,727,2,,182,2,,,,,,1257651906,93274837.19,93274837.19
1,3,2438,8002,9819,6269,3459,3,2,,183,1,,,,,,4494464395,5966407265,4494464395
2,3,8040,7639,11687,2758,6839,404,2,,184,2,,,,,,1383450881,95923221.14,95923221.14
2,3,834,11577,11522,275,4027,1856,2,,185,2,,,,,,862388103.4,50772075.6,50772075.6
1,3,16936,6250,1981,7332,118,64,2,,186,2,,,,,,1233672427,95404479.25,95404479.25
1,3,13624,295,1381,890,43,84,2,,187,2,,,,,,1089462980,58205072.09,58205072.09
1,3,5509,1461,2251,547,187,409,2,,188,2,,,,,,783105707.9,39451579.62,39451579.62
2,3,180,3485,20292,959,5618,666,1,,189,2,,,,,,1243474098,117383130.7,117383130.7
1,3,7107,1012,2974,806,355,1142,2,,190,2,,,,,,430288047.1,144210341.6,144210341.6
1,3,17023,5139,5230,7888,330,1755,1,,191,2,,,,,,679044652.7,104338527.7,104338527.7
1,1,30624,7209,4897,18711,763,2876,1,,192,2,,,,,,1066651466,58492045.42,58492045.42
2,1,2427,7097,10391,1127,4314,1468,2,,193,2,,,,,,1413759611,235860341,235860341
1,1,11686,2154,6824,3527,592,697,2,,194,2,,,,,,967164265.6,49012163.65,49012163.65
1,1,9670,2280,2112,520,402,347,2,,195,2,,,,,,394970570.2,126657243.3,126657243.3
2,1,3067,13240,23127,3941,9959,731,1,,196,1,,,,,,220824689.8,802035046.7,220824689.8
2,1,4484,14399,24708,3549,14235,1681,2,,197,2,,,,,,1125689961,48370253.16,48370253.16
1,1,25203,11487,9490,5065,284,6854,1,,198,2,,,,,,643585763.9,30282442.86,30282442.86
1,1,583,685,2216,469,954,18,1,,199,2,,,,,,824089243.8,50729591.31,50729591.31
1,1,1956,891,5226,1383,5,1328,1,,200,2,,,,,,1278996651,385203479.7,385203479.7
2,1,1107,11711,23596,955,9265,710,2,,201,2,,,,,,1325052985,525533677.1,525533677.1
1,1,6373,780,950,878,288,285,2,,202,1,,,,,,164581345.3,402720873.1,164581345.3
2,1,2541,4737,6089,2946,5316,120,1,,203,2,,,,,,1396223146,109916691.3,109916691.3
1,1,1537,3748,5838,1859,3381,806,1,,204,2,,,,,,1255315389,70310228.29,70310228.29
2,1,5550,12729,16767,864,12420,797,1,,205,2,,,,,,1427419092,391393602.4,391393602.4
1,1,18567,1895,1393,1801,244,2100,2,,206,2,,,,,,1045495512,74175799.92,74175799.92
2,1,12119,28326,39694,4736,19410,2870,1,,207,2,,,,,,1138813800,37503445.68,37503445.68
1,1,7291,1012,2062,1291,240,1775,1,,208,2,,,,,,1222418278,47015832.78,47015832.78
1,1,3317,6602,6861,1329,3961,1215,2,,209,2,,,,,,1064650823,242901257.4,242901257.4
2,1,2362,6551,11364,913,5957,791,1,,210,2,,,,,,454987559.4,173177189.5,173177189.5
1,1,2806,10765,15538,1374,5828,2388,2,,211,2,,,,,,2039944566,1876019321,1876019321
2,1,2532,16599,36486,179,13308,674,1,,212,2,,,,,,968265221.3,58935952.46,58935952.46
1,1,18044,1475,2046,2532,130,1158,1,,213,2,,,,,,1078927454,27895385.33,27895385.33
2,1,18,7504,15205,1285,4797,6372,2,,214,2,,,,,,1141989731,60287514.33,60287514.33
1,1,4155,367,1390,2306,86,130,2,,215,2,,,,,,1130957711,137624653.7,137624653.7
